set,clock,dbm,rssi,attack
0,3.03,14,34,0
0,6.98,17,39,0
0,10.02,20,34,0
0,13.48,22,36,0
0,15.3,23,30,0
0,18.43,24,29,0
1,21.43,14,36,0
1,24.8,17,38,0
1,26.27,20,33,0
1,28.28,22,36,0
1,29.61,23,31,0
1,32.26,24,34,0
2,33.63,14,6,0
2,36.45,17,40,0
2,37.73,20,36,0
2,41.1,22,35,0
2,44.1,23,30,0
2,45.25,24,32,0
3,46.73,14,35,0
3,48.42,17,36,0
3,51.44,20,36,0
3,55.14,22,33,0
3,57.4,23,30,0
3,59.32,24,31,0
4,61.24,14,39,0
4,62.78,17,39,0
4,65.16,20,35,0
4,66.29,22,35,0
4,69.1,23,31,0
4,72.01,24,31,0
5,73.45,14,35,0
5,75.32,17,38,0
5,77.34,20,35,0
5,78.85,22,38,0
5,82.57,23,30,0
5,85.91,24,34,0
6,87.15,14,8,0
6,89.4,17,37,0
6,91.83,20,34,0
6,94.15,22,36,0
6,95.53,23,30,0
6,98.7,24,28,0
7,100.99,14,34,0
7,102.14,17,42,0
7,103.32,20,33,0
7,104.76,22,35,0
7,106.45,23,32,0
7,108.76,24,32,0
8,112.15,14,34,0
8,115.46,17,40,0
8,117.79,20,35,0
8,121.68,22,36,0
8,125.53,23,29,0
8,127.81,24,32,0
9,130.24,14,38,0
9,132.49,17,36,0
9,134.4,20,35,0
9,138.3,22,33,0
9,140,23,29,0
9,142.97,24,29,0
10,145.9,14,33,0
10,147.79,17,38,0
10,151.67,20,35,0
10,154.66,22,35,0
10,158.02,23,30,0
10,159.19,24,29,0
11,162.67,14,36,0
11,164.16,17,40,0
11,166.1,20,33,0
11,169.88,22,32,0
11,173.84,23,35,0
11,174.91,24,32,0
12,176.14,14,36,0
12,177.42,17,39,0
12,179.08,20,41,0
12,180.6,22,36,0
12,182.02,23,32,0
12,183.36,24,29,0
13,186.49,14,33,0
13,189.25,17,40,0
13,192.52,20,35,0
13,194.28,22,36,0
13,196.51,23,32,0
13,197.66,24,36,0
14,199.84,14,34,0
14,202.23,17,40,0
14,206,20,34,0
14,207.61,22,36,0
14,210.39,23,30,0
14,213.01,24,29,0
15,214.9,14,36,0
15,218.77,17,36,0
15,220.32,20,36,0
15,221.78,22,35,0
15,224.91,23,32,0
15,228.36,24,29,0
16,230.71,14,34,0
16,234.14,17,40,0
16,235.59,20,34,0
16,237.25,22,32,0
16,239.5,23,30,0
16,241.58,24,31,0
17,244.22,14,0,0
17,246.53,17,36,0
17,247.58,20,34,0
17,250.76,22,36,0
17,252.34,23,32,0
17,253.63,24,29,0
18,255.75,14,36,0
18,259.18,17,38,0
18,262.9,20,33,0
18,266,22,35,0
18,268.49,23,32,0
18,270.19,24,31,0
19,273.86,14,32,0
19,276.65,17,42,0
19,278.31,20,34,0
19,281.42,22,33,0
19,284.72,23,30,0
19,288.38,24,32,0
20,291.02,14,37,0
20,294.7,17,39,0
20,297.24,20,34,0
20,301.13,22,33,0
20,303.57,23,31,0
20,306.76,24,29,0
21,308.48,14,35,0
21,311.97,17,39,0
21,314.48,20,36,0
21,318.23,22,35,0
21,320.86,23,30,0
21,322.15,24,28,0
22,324.77,14,32,0
22,326.61,17,42,0
22,329.85,20,36,0
22,332.57,22,33,0
22,335.5,23,30,0
22,338.33,24,33,0
23,340.37,14,32,0
23,342.69,17,38,0
