set,clock,dbm,RSSI,attack
0,4.31,14,40,0
0,5.97,17,38,0
0,7.44,20,35,0
0,10.76,22,34,0
0,14.67,23,32,0
0,15.99,24,35,0
1,18.88,14,36,0
1,22.08,17,34,0
1,23.59,20,35,0
1,25.15,22,32,0
1,27.88,23,31,0
1,30.58,24,34,0
2,32.91,14,37,0
2,34.79,17,34,0
2,37.28,20,35,0
2,38.56,22,36,0
2,39.68,23,32,0
2,43.28,24,35,0
3,45.04,14,39,0
3,46.69,17,40,0
3,49.68,20,33,0
3,51.86,22,35,0
3,52.9,23,30,0
3,54.86,24,31,0
4,57.36,14,38,0
4,60.34,17,37,0
4,61.6,20,33,0
4,64.83,22,36,0
4,67.5,23,32,0
4,71.09,24,33,0
5,72.79,14,37,0
5,76.07,17,39,0
5,77.43,20,35,0
5,78.67,22,35,0
5,80.23,23,32,0
5,81.58,24,33,0
6,85.33,14,38,0
6,88.07,17,38,0
6,89.76,20,35,0
6,91.95,22,33,0
6,93.66,23,33,0
6,95.46,24,30,0
7,99.45,14,40,0
7,103.2,17,37,0
7,104.64,20,34,0
7,106.73,22,33,0
7,109.77,23,32,0
7,113.1,24,29,0
8,115.23,14,34,0
8,119.04,17,38,0
8,120.91,20,35,0
8,122.71,22,36,0
8,125.41,23,38,0
8,128.27,24,31,0
9,131.63,14,34,0
9,132.73,17,40,0
9,134.94,20,34,0
9,136.62,22,31,0
9,138.85,23,31,0
9,140.09,24,30,0
10,144.08,14,34,0
10,145.54,17,36,0
10,147.77,20,33,0
10,151.01,22,33,0
10,154.51,23,29,0
10,156.01,24,30,0
11,157.12,14,39,0
11,160.91,17,36,0
11,162.53,20,36,0
11,164.9,22,34,0
11,167.44,23,30,0
11,171.34,24,32,0
12,173.58,14,35,0
12,174.98,17,41,0
12,178.14,20,33,0
12,181.25,22,33,0
12,183.27,23,31,0
12,185.04,24,34,0
13,186.88,14,35,0
13,190.08,17,43,0
13,192.49,20,34,0
13,195.87,22,33,0
13,197.25,23,31,0
13,199.27,24,34,0
14,200.29,14,35,0
14,203.05,17,34,0
14,206.55,20,35,0
14,209.9,22,35,0
14,211.25,23,29,0
14,213.29,24,31,0
15,216.83,14,34,0
15,219.8,17,36,0
15,221.86,20,33,0
15,224.07,22,35,0
15,225.85,23,32,0
15,227.2,24,31,0
16,230.16,14,34,0
16,234.1,17,40,0
16,236.05,20,33,0
16,237.7,22,31,0
16,241,23,33,0
16,243.97,24,29,0
17,247.12,14,37,0
17,249.6,17,39,0
17,251.36,20,33,0
17,254.92,22,36,0
17,256.92,23,30,0
17,260.58,24,33,0
18,262.2,14,35,0
18,264.28,17,40,0
18,266.47,20,33,0
18,269.64,22,34,0
18,272.72,23,30,0
18,274.9,24,31,0
19,277.73,14,34,0
19,279.43,17,38,0
19,281.76,20,33,0
19,284.83,22,33,0
19,288.47,23,30,0
19,290.41,24,33,0
20,292.06,14,38,0
20,293.85,17,38,0
20,295.26,20,33,0
20,297.74,22,34,0
20,300.77,23,31,0
20,303.02,24,31,0
21,305.42,14,47,0
21,306.98,17,34,0
21,309.38,20,35,0
21,310.63,22,36,0
21,313.76,23,38,0
21,314.82,24,36,0
22,318.6,14,42,0
22,321.19,17,41,0
22,322.33,20,35,0
22,325.44,22,37,0
22,327.32,23,34,0
22,330.76,24,37,0
23,334.64,14,39,0
23,337.31,17,36,0
23,340.58,20,37,0
23,343.64,22,36,0
23,345.67,23,35,0
23,348.48,24,35,0
24,350.31,14,40,0
24,354,17,40,0
24,357.32,20,35,0
24,359.12,22,37,0
24,362.4,23,36,0
24,363.58,24,34,0
25,365.88,14,34,0
25,367.72,17,37,0
25,369.38,20,37,0
25,372.18,22,35,0
25,375.16,23,32,0
25,378.69,24,34,0
26,381.8,14,38,0
26,384.42,17,41,0
26,387.37,20,36,0
26,388.4,22,36,0
26,390.01,23,35,0
26,393.73,24,33,0
27,397.48,14,34,0
27,399.64,17,35,0
27,402.43,20,41,0
27,405.33,22,34,0
27,409.3,23,33,0
27,412.53,24,33,0
28,416.25,14,35,0
28,417.42,17,39,0
28,421.2,20,40,0
28,424.6,22,35,0
28,428.05,23,35,0
28,430.15,24,36,0
29,432.68,14,40,0
29,433.69,17,43,0
29,437.44,20,34,0
29,439.32,22,35,0
29,440.34,23,33,0
29,443.12,24,34,0
30,446.76,14,35,0
30,449.02,17,39,0
30,451.51,20,40,0
30,455.31,22,38,0
30,457.82,23,33,0
30,461.13,24,35,0
31,464.44,14,36,0
31,467.22,17,38,0
31,468.49,20,41,0
31,469.54,22,38,0
31,471.31,23,32,0
31,474.89,24,31,0
32,476.79,14,41,0
32,480.53,17,38,0
32,481.63,20,38,0
32,484.05,22,31,0
32,487.96,23,34,0
32,490.11,24,34,0
33,492.74,14,38,0
33,494.66,17,41,0
33,496.66,20,34,0
33,498.73,22,34,0
33,502.12,23,33,0
33,505.46,24,34,0
34,506.85,14,38,0
34,508.72,17,37,0
34,512.61,20,41,0
34,516.53,22,33,0
34,520.19,23,37,0
34,523.66,24,35,0
35,526.68,14,38,0
35,530.4,17,41,0
35,533.81,20,34,0
35,535.34,22,33,0
35,539.08,23,34,0
35,541.5,24,35,0
36,544.04,14,40,0
36,546.91,17,38,0
36,548.07,20,34,0
36,549.98,22,34,0
36,552.29,23,32,0
36,555.17,24,33,0
37,556.44,14,39,0
37,558.73,17,39,0
37,562.45,20,35,0
37,563.84,22,35,0
37,567.63,23,35,0
37,571.42,24,33,0
38,572.72,14,41,0
38,575.85,17,39,0
38,578.46,20,36,0
38,580.66,22,34,0
38,583.82,23,33,0
38,586.98,24,35,0
39,589.76,14,41,0
39,593.62,17,36,0
39,596.65,20,34,0
39,598.16,22,34,0
39,601.79,23,32,0
39,605.59,24,34,0
40,606.77,14,38,0
40,607.96,17,37,0
40,609.81,20,35,0
40,613.07,22,34,0
40,616.15,23,35,0
40,617.21,24,33,0
41,621.12,14,44,0
41,624.83,17,37,0
41,628.43,20,35,0
41,630.11,22,34,0
41,633.87,23,33,0
41,636.67,24,35,0
42,637.87,14,41,0
42,641.28,17,39,0
42,642.67,20,33,0
42,646.47,22,33,0
42,647.92,23,34,0
42,651.36,24,34,0
43,653.6,14,38,0
43,654.94,17,40,0
43,657.41,20,38,0
43,659.14,22,33,0
43,660.33,23,37,0
43,663.27,24,34,0
44,666.61,14,37,0
44,669.59,17,37,0
44,671.86,20,35,0
44,673.97,22,36,0
44,676.24,23,35,0
44,678.78,24,34,0
45,682.04,14,38,0
45,685.93,17,38,0
45,688.34,20,34,0
45,692.11,22,37,0
45,693.37,23,33,0
45,695.11,24,34,0
46,697.71,14,39,0
46,700.2,17,40,0
46,702.91,20,34,0
46,704.55,22,33,0
46,707.53,23,34,0
46,708.85,24,34,0
47,711.54,14,40,0
47,715.18,17,38,0
47,716.32,20,37,0
47,720.05,22,35,0
47,723.41,23,32,0
47,727.15,24,36,0
48,730.26,14,40,0
48,734.05,17,41,0
48,737.61,20,35,0
48,741.05,22,34,0
48,744.9,23,33,0
48,746.21,24,33,0
49,749.1,14,38,0
49,752.93,17,39,0
