set,clock,dbm,rssi,attack
0,3.20,14,33,0
0,6.02,17,39,0
0,9.21,20,35,0
0,13.06,22,36,0
0,14.19,23,32,0
0,17.73,24,34,0
1,19.06,14,35,0
1,22.42,17,34,0
1,24.19,20,36,0
1,28.16,22,37,0
1,31.80,23,34,0
1,34.32,24,35,0
2,35.42,14,34,0
2,37.95,17,40,0
2,39.75,20,34,0
2,40.95,22,36,0
2,43.81,23,35,0
2,47.32,24,33,0
3,50.90,14,44,0
3,54.71,17,40,0
3,56.94,20,32,0
3,60.24,22,30,0
3,62.05,23,32,0
3,65.42,24,34,0
4,67.56,14,41,0
4,69.30,17,36,0
4,71.73,20,32,0
4,73.79,22,28,0
4,75.08,23,29,0
4,77.01,24,31,0
5,80.83,14,37,0
5,84.12,17,35,0
5,87.84,20,34,0
5,90.16,22,34,0
5,91.49,23,31,0
5,94.80,24,30,0
6,96.41,14,36,0
6,97.74,17,34,0
6,98.87,20,31,0
6,100.76,22,33,0
6,102.45,23,29,0
6,103.88,24,32,0
7,107.15,14,35,0
7,108.22,17,36,0
7,109.88,20,35,0
7,111.87,22,31,0
7,115.85,23,40,0
7,118.91,24,29,0
8,120.11,14,37,0
8,122.47,17,35,0
8,124.52,20,35,0
8,126.13,22,32,0
8,127.80,23,34,0
8,130.47,24,31,0
9,134.02,14,35,0
9,135.13,17,35,0
9,136.37,20,33,0
9,137.51,22,33,0
9,140.56,23,35,0
9,142.63,24,37,0
10,145.53,14,36,0
10,147.66,17,37,0
10,151.45,20,35,0
10,153.34,22,31,0
10,155.26,23,33,0
10,157.72,24,30,0
11,160.17,14,35,0
11,163.55,17,35,0
11,166.25,20,33,0
11,169.46,22,32,0
11,172.19,23,30,0
11,174.77,24,30,0
12,177.37,14,37,0
12,180.70,17,36,0
12,183.32,20,32,0
12,185.93,22,32,0
12,189.60,23,33,0
12,190.94,24,31,0
13,193.27,14,36,0
13,194.83,17,34,0
13,197.41,20,33,0
13,198.97,22,34,0
13,201.13,23,32,0
13,203.95,24,30,0
14,206.82,14,36,0
14,209.18,17,35,0
14,212.09,20,34,0
14,214.09,22,35,0
14,217.60,23,29,0
14,218.70,24,37,0
15,222.61,14,36,0
15,225.10,17,36,0
15,227.48,20,34,0
15,230.74,22,32,0
15,234.68,23,30,0
15,236.09,24,29,0
16,239.14,14,36,0
16,242.18,17,35,0
16,246.09,20,33,0
16,248.24,22,32,0
16,251.43,23,31,0
16,253.39,24,31,0
17,254.93,14,36,0
17,258.28,17,38,0
17,262.04,20,32,0
17,264.71,22,34,0
17,268.12,23,33,0
17,271.49,24,31,0
18,273.48,14,36,0
18,275.64,17,34,0
18,278.12,20,35,0
18,280.36,22,34,0
18,283.33,23,32,0
18,286.31,24,30,0
19,289.13,14,36,0
19,290.53,17,38,0
19,293.40,20,33,0
19,296.58,22,36,0
19,297.99,23,31,0
19,300.31,24,32,0
20,303.70,14,36,0
20,306.05,17,34,0
20,308.02,20,33,0
20,311.66,22,32,0
20,315.26,23,31,0
20,317.18,24,30,0
21,320.97,14,35,0
21,322.84,17,36,0
21,325.41,20,35,0
21,328.30,22,33,0
21,331.77,23,31,0
21,333.92,24,30,0
22,335.38,14,38,0
22,338.05,17,35,0
22,341.28,20,30,0
22,344.98,22,32,0
22,347.45,23,33,0
22,349.61,24,30,0
23,352.23,14,36,0
23,355.44,17,37,0
23,357.01,20,35,0
23,358.32,22,33,0
23,362.28,23,30,0
23,366.15,24,31,0
24,369.29,14,35,0
24,371.13,17,34,0
24,372.36,20,37,0
24,374.30,22,36,0
24,376.12,23,33,0
24,378.34,24,31,0
25,379.52,14,36,0
25,380.95,17,36,0
25,382.07,20,33,0
25,383.07,22,34,0
25,385.12,23,29,0
25,387.62,24,35,0
26,389.70,14,37,0
26,392.62,17,36,0
26,395.63,20,35,0
26,398.00,22,32,0
